Job Title,Published Date,Skills Required
"DATA ARCHITECT / DATA SCIENTIST 

    axmiyan hr solutions private limited",N/A,"reports  ,  data mining  ,  database design  ,  database  ,  procedures"
"Data Architect- Data Engineering 

    INSPIRATION MANPOWER",N/A,"metadata  ,  bi  ,  data architecture  ,  business intelligence  ,  sql  ,  data structures  ,  data transformation  ,  etl  ,  pl  /  sql  ,  rdbms  ,  mobile  ,  data architect  ,  hyperion  ,  consultant  ,  dwh  ,  infrastructure  ,  informatica"
"Data administration data entry 

    Saleem Khan
     (More Jobs)",N/A,Genuine offline data entry jobweekly payment
"Data Analyst or Data Scientist 

    Deepakshi Recruiters
     (More Jobs)",N/A,"Data Entry  ,  Typing Speed  ,  computer operator  ,  Work From Home  ,  Back Office  ,  executive  ,  CCE  ,  Blended Process  ,  Non Voice  ,  Back-office Operations"
".Data administration Data Entry 

    Saleem Khan
     (More Jobs)",N/A,.Data administration Data Entry
"Data administration Data Entry 

    Saleem Khan
     (More Jobs)",N/A,No rejection work daily payout ad posting copy paste
"Data administration Data Entry 

    Saleem Khan
     (More Jobs)",N/A,Earn Income for your Pocket Money with Online work as Part Time
"Data administration Data Entry 

    Saleem Khan
     (More Jobs)",N/A,Earn Income for your Pocket Money with Online work as Part Time
"Data Analyst or Data Scientist 

    Deepakshi Recruiters
     (More Jobs)",N/A,"Data Entry  ,  Typing Speed  ,  computer operator  ,  Work From Home  ,  Back Office  ,  executive  ,  CCE  ,  Blended Process  ,  Non Voice"
"Data Analyst or Data Scientist 

    Deepakshi Recruiters
     (More Jobs)",N/A,"Data Entry  ,  Typing Speed  ,  computer operator  ,  Work From Home  ,  Back Office  ,  executive  ,  CCE  ,  Blended Process  ,  Non Voice"
"Data Engineer / Senior Data Engineer / Data Scientist 

    Acuity Knowledge Partners",N/A,"algorithms  ,  data mining  ,  data extraction  ,  mongodb  ,  python  ,  problem solving  ,  nosql  ,  cassandra  ,  infrastructure"
"Data Analyst 

    Uscreen",N/A,"dashboards  ,  sql  ,  data visualization  ,  data analytics  ,  data analysis  ,  customer success  ,  mobile  ,  data analyst"
"Data Visualization 

    The Edge Asia",N/A,"visualization  ,  data analytics  ,  consulting  ,  bi  ,  dashboards  ,  security  ,  tableau  ,  data governance  ,  data visualization"
"Data Analytics 

    apex jobs",N/A,"macros  ,  data analytics  ,  data analysis  ,  sql  ,  tableau  ,  data visualization"
"Data Scientist 

    TECHNOPARK TRIVANDRUM",N/A,"regression analysis  ,  logistic regression  ,  advanced analytics  ,  data analytics  ,  data cleaning  ,  data mining  ,  bi  ,  linear regression  ,  ensemble  ,  sql  ,  database  ,  data science  ,  data scientist  ,  data visualization  ,  cluster analysis  ,  tableau"
"Data Architect 

    Cotocus",N/A,"data analysis  ,  data analyst  ,  data visualization"
"data analyst 

    Randstad MENA",N/A,"data analysis  ,  server management  ,  data analyst  ,  sql  ,  tableau  ,  business objects  ,  data visualization  ,  statistical analysis"
"Data Analyst 

    advanced risk analytics private limited",N/A,"visualizing data  ,  data collection  ,  Flood data"
"Data Analyst 

    HyreFox Consultants",N/A,"data analytics  ,  business requirements  ,  bi  ,  dashboards  ,  data analyst  ,  sql  ,  tableau"
"Data Scientist 

    Datagrid Solutions",N/A,"data analysis  ,  linear regression  ,  ensemble  ,  tableau  ,  data science  ,  data scientist  ,  data visualization"
"Data Analyst 

    ADROIT LEARNING AND MANPOWER PVT LTD",N/A,"data analysis  ,  dashboards  ,  data analyst  ,  sql  ,  tableau  ,  infrastructure  ,  data visualization"
"Data Engineer 

    SYSTEM SOFT INC.",N/A,"algorithms  ,  data warehousing  ,  sql  ,  hadoop  ,  big data  ,  nosql  ,  sql database"
"Data Scientist 

    Nielsen Research Ltd. Co.",N/A,"visualization  ,  dashboards  ,  tableau  ,  data science  ,  data scientist"
"Data Analyst 

    CoWrks",N/A,"data mining  ,  mining  ,  sql  ,   data analyst"
"Data Analyst 

    Koch Global Business Services",N/A,"visualization  ,  bi  ,  dashboards  ,  data analysis  ,  spotfire  ,  mining  ,  data analyst  ,  tableau  ,  consultant  ,  data cleaning  ,  sql database"
